word,sent
terribl,-0.739725294
horrif,-0.738845144
irat,-0.737288136
entschuldigung,-0.736434109
saddest,-0.73605948
sham,-0.735849057
horrid,-0.735792622
violat,-0.734567901
mcfadden,-0.734177215
careless,-0.733913043
lousi,-0.733802109
unfreundlich,-0.732608696
undeserv,-0.732142857
blatant,-0.731343284
onestar,-0.731225296
horrend,-0.730405781
poorli,-0.729372937
huff,-0.729166667
boyarde,-0.729064039
disast,-0.728070175
unkept,-0.7265625
dissatisfact,-0.725978648
scum,-0.725490196
refus,-0.725423202
irrespons,-0.72519084
harass,-0.723842196
ammonia,-0.722772277
unfresh,-0.722689076
flavorless,-0.722380881
huf,-0.722222222
recook,-0.721925134
salmonella,-0.721649485
insincer,-0.721518987
bbb,-0.721088435
ripoff,-0.720154044
hostil,-0.719072165
nauseou,-0.718309859
repli,-0.716708023
zero,-0.716655243
supervisor,-0.716378162
shithol,-0.715686275
disput,-0.715575621
vile,-0.715053763
smirk,-0.714814815
overcharg,-0.714285714
gall,-0.712871287
puke,-0.712658228
behaviour,-0.711627907
nasti,-0.710831013
wors,-0.710718993
flavourless,-0.71
nerv,-0.708188153
cancel,-0.708115543
unrecogniz,-0.708108108
grossth,-0.70754717
revolt,-0.70754717
unclean,-0.705735661
appolog,-0.703703704
berat,-0.703422053
incorrect,-0.702555737
acknowledg,-0.702243548
laughabl,-0.70212766
minuet,-0.70212766
symptom,-0.701960784
mildew,-0.701754386
rubber,-0.701223902
wast,-0.700764767
threaten,-0.700549451
customersth,-0.700284888
reprimand,-0.698630137
boycott,-0.698113208
inconvenienc,-0.697674419
sloppili,-0.697068404
unwil,-0.696696697
teaspoon,-0.69519833
poor,-0.695011247
franchise,-0.694267516
disbelief,-0.693989071
anger,-0.693779904
reimburs,-0.693693694
clueless,-0.692924872
wtf,-0.691351046
tablespoon,-0.691119691
garbag,-0.690369541
calmli,-0.690140845
horrifi,-0.689938398
aggrav,-0.689860835
impolit,-0.68907563
worthless,-0.688172043
enttuschung,-0.688073394
bluntli,-0.6875
unwelcom,-0.685849057
slop,-0.685814771
congeal,-0.685770751
unseason,-0.685649203
infect,-0.684931507
wretch,-0.684563758
shitti,-0.684520621
mumbl,-0.684361549
grudgingli,-0.683333333
spat,-0.683229814
scowl,-0.683006536
apathet,-0.681265207
tipper,-0.680722892
miseri,-0.680473373
repuls,-0.680147059
behavior,-0.679771265
piss,-0.679661452
unrespons,-0.679389313
fingernail,-0.67826087
reciept,-0.67768595
unaccommod,-0.67768595
woke,-0.677600958
immatur,-0.67755102
nauseat,-0.67752443
sewag,-0.677514793
fals,-0.677322677
shrug,-0.676923077
unappet,-0.676837725
enemi,-0.676217765
argu,-0.676111595
discrimin,-0.676056338
bait,-0.675257732
abomin,-0.674698795
barf,-0.674496644
unfriendli,-0.674436674
dismiss,-0.674091442
blankli,-0.673469388
salvag,-0.67264574
boycot,-0.672413793
microwav,-0.672413793
lawsuit,-0.671875
abruptli,-0.671641791
unkempt,-0.670588235
gross,-0.670398102
moron,-0.67032967
mortifi,-0.669603524
infest,-0.668874172
unmelt,-0.668508287
unflavor,-0.666666667
scold,-0.666666667
plain,-0.665210284
incorrectli,-0.665163472
proce,-0.664968153
receipt,-0.664940705
lieblo,-0.664516129
demean,-0.664233577
thief,-0.663716814
stale,-0.663644974
profus,-0.663486228
remak,-0.662936142
dumbfound,-0.662745098
medicor,-0.662162162
apolog,-0.662136303
blech,-0.661214953
uneaten,-0.661141805
straight,-0.660924642
hardearn,-0.660869565
stench,-0.659340659
tepid,-0.659235669
discolor,-0.658914729
turd,-0.658823529
leadership,-0.657894737
bacteria,-0.656565657
grossli,-0.656378601
ignor,-0.655726611
complac,-0.654867257
failur,-0.654846336
contempt,-0.654545455
disappointingi,-0.654135338
greasiest,-0.65408805
shrivel,-0.652777778
ewww,-0.652406417
distant,-0.65183142
unpalat,-0.651612903
sarcast,-0.650071124
uncook,-0.649960846
affirm,-0.649437153
rot,-0.649122807
grouchi,-0.648755652
ick,-0.648648649
proceed,-0.648648649
slime,-0.648484848
greed,-0.648275862
misfortun,-0.647619048
hygien,-0.647230321
stank,-0.647058824
withdraw,-0.646982582
smell,-0.646146975
yuk,-0.64587156
mgr,-0.645772595
katastroph,-0.645454545
perfum,-0.645385781
stomachach,-0.644171779
intellig,-0.643904071
incens,-0.643863869
bullshit,-0.642105263
abras,-0.64171123
sympathi,-0.64171123
dissatisfi,-0.641423358
unintent,-0.640804969
unsatisfi,-0.640566741
meanwhil,-0.63961039
hurriedli,-0.639344262
mistook,-0.639313719
unhappi,-0.639125152
aftermath,-0.639008783
glop,-0.638888889
unorgan,-0.638388123
profan,-0.63800905
mixup,-0.636715424
godaw,-0.636363636
manageri,-0.63583815
reappear,-0.635738832
remad,-0.635106383
excus,-0.635005336
lipstick,-0.635
burp,-0.634853349
miser,-0.634624582
rip,-0.634618968
eatabl,-0.634538153
whine,-0.634398248
lukewarm,-0.633421751
adio,-0.633333333
invis,-0.63327674
kindli,-0.633055192
nostril,-0.632875025
undrink,-0.6328125
misinform,-0.632
spite,-0.63170126
ahold,-0.631578947
thaw,-0.631493506
upset,-0.631479736
